shouldReplace	verb	genre	number	noun	verbFreq	nounFreq
True	abaisser	masculine	singular	abaissement	0	274
True	abandonner	masculine	singular	abandon	0	4801
True	abandonner	masculine	singular	abandonnement	0	3
True	abâtardir	masculine	singular	abâtardissement	0	3
True	abatre	masculine	singular	abatage	0	13
True	abattre	masculine	singular	abattage	0	296
True	abattre	masculine	singular	abattement	0	106
True	abbattre	masculine	singular	abbattage	0	1
True	abcéder	feminine	singular	abcédation	0	1
True	abdiquer	feminine	singular	abdication	0	748
True	abêtir	masculine	singular	abêtissement	0	2
True	abjurer	feminine	singular	abjuration	0	70
True	ablater	feminine	singular	ablation	0	381
True	abluer	feminine	singular	ablution	0	28
True	ablutionner	feminine	singular	ablution	0	28
True	abolir	masculine	singular	abolissement	0	2
True	abolir	feminine	singular	abolition	0	1959
True	abonder	masculine	singular	abondement	0	26
True	abonner	masculine	singular	abonnement	0	508
True	aborder	masculine	singular	abordage	0	195
True	aborner	masculine	singular	abornage	0	1
True	aborner	masculine	singular	abornement	0	5
True	aboucher	masculine	singular	abouchement	0	23
True	abouter	masculine	singular	aboutement	0	2
True	aboutir	masculine	singular	aboutissement	0	548
True	aboyer	masculine	singular	aboiement	0	17
True	abraser	masculine	singular	abrasement	0	1
True	abraser	feminine	singular	abrasion	0	98
True	abréger	masculine	singular	abrègement	0	13
True	abreuver	masculine	singular	abreuvage	0	4
True	abreuver	masculine	singular	abreuvement	0	1
True	abroger	feminine	singular	abrogation	0	348
True	abroutir	masculine	singular	abroutissement	0	1
True	abrutir	masculine	singular	abrutissement	0	18
True	absorber	feminine	singular	absorbation	0	1
True	absorber	feminine	singular	absorption	0	1454
True	absoudre	feminine	singular	absolution	0	167
True	abstenir	feminine	singular	abstention	0	461
True	abstraire	feminine	singular	abstraction	0	1034
True	abuser	masculine	singular	abusement	0	3
True	accabler	masculine	singular	accablement	0	16
True	accaparer	feminine	singular	accaparation	0	2
True	accaparer	masculine	singular	accaparement	0	43
True	accéder	feminine	singular	accession	0	1505
True	accélérer	feminine	singular	accélération	0	1575
True	accenser	masculine	singular	accensement	0	2
True	accentuer	feminine	singular	accentuation	0	234
True	accepter	feminine	singular	acceptation	0	1063
True	accepter	feminine	singular	acception	0	873
True	accessoiriser	feminine	singular	accessoirisation	0	2
True	acclamer	feminine	singular	acclamation	0	138
True	acclimater	feminine	singular	acclimatation	0	155
True	acclimater	masculine	singular	acclimatement	0	1
True	acclimater	feminine	singular	acclimation	0	19
True	accolader	feminine	singular	accolade	0	125
True	accoler	feminine	singular	accolade	0	125
True	accoler	masculine	singular	accolage	0	1
True	accoler	masculine	singular	accolement	0	18
True	accommoder	feminine	singular	accommodation	0	84
True	accommoder	masculine	singular	accommodement	0	47
True	accompagner	masculine	singular	accompagnement	0	1376
True	accomplir	masculine	singular	accomplissement	0	641
True	accorder	masculine	singular	accordage	0	95
True	accorder	masculine	singular	accordement	0	5
True	accorer	masculine	singular	accorage	0	10
True	accoster	masculine	singular	accostage	0	71
True	accoucher	masculine	singular	accouchement	0	718
True	accoupler	masculine	singular	accouplement	0	365
True	accoutumer	feminine	singular	accoutumance	0	77
True	accouver	masculine	singular	accouvage	0	4
True	accréditer	feminine	singular	accréditation	0	128
True	accrocher	masculine	singular	accrochage	0	285
True	accrocher	masculine	singular	accrochement	0	3
True	accroître	masculine	singular	accroissement	0	1389
True	acculturer	feminine	singular	acculturation	0	79
True	accumuler	feminine	singular	accumulation	0	1196
True	accuser	feminine	singular	accusation	0	1992
True	acenser	masculine	singular	acensement	0	2
True	acétifier	feminine	singular	acétification	0	1
True	acétyler	feminine	singular	acétylation	0	11
True	acharner	masculine	singular	acharnement	0	363
True	acheminer	masculine	singular	acheminement	0	346
True	acheter	masculine	singular	achat	0	2846
True	achever	masculine	singular	achèvement	0	898
True	achopper	masculine	singular	achoppement	0	42
True	acidifier	feminine	singular	acidification	0	59
True	acquérir	feminine	singular	acquisition	0	2987
True	acquiescer	masculine	singular	acquiescement	0	19
True	acquiescer	feminine	singular	acquiescence	0	1
True	acquitter	masculine	singular	acquitement	0	4
True	acquitter	masculine	singular	acquit	0	1053
True	acquitter	masculine	singular	acquittement	0	218
True	acter	masculine	singular	acte	0	9753
True	acter	feminine	singular	action	0	27018
True	actionner	masculine	singular	actionnement	0	8
True	activer	feminine	singular	activation	0	770
True	actualiser	feminine	singular	actualisation	0	385
True	actuer	feminine	singular	actuation	0	1
True	acupuncturer	feminine	singular	acupuncture	0	122
True	adapter	feminine	singular	adaptation	0	6899
True	additionner	feminine	singular	addition	0	1410
True	adduire	feminine	singular	adduction	0	169
True	adhérer	feminine	singular	adhérence	0	470
True	adhérer	feminine	singular	adhésion	0	2188
True	adjectiver	feminine	singular	adjectivation	0	3
True	adjoindre	feminine	singular	adjonction	0	444
True	adjuger	feminine	singular	adjudication	0	94
True	adjurer	feminine	singular	adjuration	0	2
True	admettre	feminine	singular	admission	0	1312
True	administrationaliser	feminine	singular	administration	0	64633
True	administrer	feminine	singular	administration	0	64633
True	admirer	feminine	singular	admiration	0	1141
True	admonester	feminine	singular	admonestation	0	14
True	adopter	feminine	singular	adoption	0	2887
True	adorer	feminine	singular	adoration	0	536
True	adouber	masculine	singular	adoubement	0	38
True	adoucir	masculine	singular	adoucissement	0	57
True	adresser	masculine	singular	adressage	0	317
True	adsorber	feminine	singular	adsorption	0	113
True	aduler	feminine	singular	adulation	0	32
True	advenir	masculine	singular	avènement	0	2232
True	aérer	masculine	singular	aérage	0	14
True	aérer	feminine	singular	aération	0	254
True	affabuler	feminine	singular	affabulation	0	21
True	affadir	masculine	singular	affadissement	0	6
True	affaiblir	masculine	singular	affaiblissement	0	532
True	affairer	masculine	singular	affairement	0	1
True	affairer	masculine	singular	affairisme	0	17
True	affaisser	masculine	singular	affaissement	0	115
True	affamer	masculine	singular	affamement	0	5
True	afféager	masculine	singular	afféagement	0	2
True	affecter	feminine	singular	affectation	0	674
True	affecter	feminine	singular	affection	0	1309
True	affener	masculine	singular	affenage	0	1
True	affermer	masculine	singular	affermage	0	60
True	affermir	masculine	singular	affermissement	0	36
True	afficher	masculine	singular	affichage	0	2659
True	affiler	masculine	singular	affilage	0	2
True	affilier	feminine	singular	affiliation	0	1020
True	affiner	masculine	singular	affinage	0	334
True	affiner	masculine	singular	affinement	0	31
True	affirmer	feminine	singular	affirmation	0	1385
True	affleurer	masculine	singular	affleurement	0	75
True	affluer	feminine	singular	affluence	0	929
True	affluer	masculine	singular	afflux	0	516
True	affoler	masculine	singular	affolement	0	40
True	affolir	masculine	singular	affolement	0	40
True	afforer	masculine	singular	afforage	0	1
True	affourager	masculine	singular	affouragement	0	1
True	affourcher	masculine	singular	affourchage	0	1
True	affourrager	masculine	singular	affourragement	0	1
True	affranchir	masculine	singular	affranchissement	0	338
True	affréter	masculine	singular	affrètement	0	49
True	affronter	feminine	singular	affrontation	0	1
True	affronter	masculine	singular	affrontement	0	1485
True	affûter	masculine	singular	affûtage	0	31
True	africaniser	feminine	singular	africanisation	0	20
True	agacer	masculine	singular	agacement	0	45
True	agencer	masculine	singular	agencement	0	349
True	agenouiller	masculine	singular	agenouillement	0	12
True	agglomérer	feminine	singular	agglomération	0	8911
True	agglutiner	feminine	singular	agglutination	0	82
True	agglutiner	masculine	singular	agglutinement	0	1
True	aggraver	feminine	singular	aggravation	0	255
True	aggraver	masculine	singular	aggravement	0	2
True	agioter	masculine	singular	agiotage	0	23
True	agir	masculine	singular	agissement	0	36
True	agiter	feminine	singular	agitation	0	1158
True	agneler	masculine	singular	agnelage	0	6
True	agoniser	feminine	singular	agonie	0	445
True	agrafer	masculine	singular	agrafage	0	10
True	agrainer	masculine	singular	agrainage	0	17
True	agrandir	masculine	singular	agrandissement	0	683
True	agréer	feminine	singular	agréation	0	4
True	agréer	masculine	singular	agréement	0	13
True	agréer	masculine	singular	agrément	0	735
True	agréger	feminine	singular	agrégation	0	658
True	agrémenter	feminine	singular	agrémentation	0	2
True	agresser	feminine	singular	agression	0	1190
True	agripper	masculine	singular	agrippement	0	5
True	aguerrir	masculine	singular	aguerrissement	0	36
True	aguetter	masculine	singular	aguet	0	3
True	ahurir	masculine	singular	ahurissement	0	1
True	aider	feminine	singular	aide	0	37195
True	aiguiller	masculine	singular	aiguillage	0	142
True	aiguilleter	masculine	singular	aiguilletage	0	1
True	aiguiser	masculine	singular	aiguisage	0	31
