la plus; la plus; la plus; 
le plus;le plus;le plus;le plus;
avoir bon dos;expression idiomatique;personnalité;corps humain;N/A;<ENT><avoir>_<ENT>Adj1_<ENT>C1
avoir bon cœur;expression verbale figée;corps humain;personnalité;B1;<ENT><avoir>_<ENT>Adj1_<ENT>C1
avoir bon caractère;collocation;personnalité;;N/A;<ENT><avoir>_<ENT>Adj1_<ENT>C1
avoir bon esprit;expression verbale figée;personnalité;;N/A;<ENT><avoir>_<ENT>Adj1_<ENT>C1
avoir fourbu;expression verbale figée;autres;;A2;<ENT><avoir>_<ENT>C1
avoir crampon;expression idiomatique;autres;;A2;<ENT><avoir>_<ENT>C1
avoir chaud;collocation;sensations/sentiments;;A1;<ENT><avoir>_<ENT>C1
avoir faim;collocation;sensations/sentiments;;A1;<ENT><avoir>_<ENT>C1
avoir cours;collocation;action;;A2;<ENT><avoir>_<ENT>C1
avoir congé;collocation;autres;;A2;<ENT><avoir>_<ENT>C1
avoir lieu;collocation;;;B1;<ENT><avoir>_<ENT>C1
avoir nom;expression verbale figée;autres;;A2;<ENT><avoir>_<ENT>C1
avoir eu chaud;collocation;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir mal ailleurs;collocation;sensations/sentiments;;A1;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir parlé trop tôt;collocation;conversation;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir pieds et poings liés;expression idiomatique;corps humain;action;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir cause gagnée;collocation;justice;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir tout faux;collocation;autres;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir mal où ?;collocation;sensations/sentiments;;A1;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir encore frappé;collocation;action;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir voix consultative;collocation;justice;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir mal partout;collocation;sensations/sentiments;;A1;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir mal fait;collocation;sensations/sentiments;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir déjà donné;collocation;action;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
# avoir figure (+adjectif);collocation;apparence;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir mal quelque part;collocation;sensations/sentiments;;A1;<ENT><avoir>_<ENT>C1_<ENT>Adj1
avoir encore fait quoi ?;collocation;comportement;;N/A;<ENT><avoir>_<ENT>C1_<ENT>C2
avoir figure humaine;expression idiomatique;corps humain;apparence;N/A;<ENT><avoir>_<ENT>C1_<ENT>Cc
avoir eu une belle fin;collocation;la vie/la mort;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Det2_<ENT>C2
avoir eu une triste fin;collocation;la vie/la mort;;N/A;<ENT><avoir>_<ENT>C1_<ENT>Det2_<ENT>C2
